+==========+====================+===============+=====+=======+====================+===============+
|  Verne   |        Word        |  Occurrences  |     |  Poe  |        Word        |  Occurrences  |
|          |crater              |37             |     |       |night's             |6              |
|          |quite               |37             |     |       |passion             |6              |
|          |hands               |37             |     |       |poetic              |6              |
|          |off                 |37             |     |       |refrain             |6              |
|          |rather              |36             |     |       |melancholy          |6              |
|          |gräuben             |36             |     |       |distribution        |6              |
|          |fire                |36             |     |       |night               |6              |
|          |reason              |36             |     |       |stanza              |6              |
|          |saknussemm          |36             |     |       |back                |6              |
|          |return              |36             |     |       |comply              |6              |
|          |centre              |36             |     |       |sent                |6              |
|          |set                 |36             |     |       |least               |6              |
|          |wind                |36             |     |       |ah                  |6              |
|          |side                |36             |     |       |mr                  |6              |
|          |gone                |36             |     |       |love                |6              |
|          |four                |36             |     |       |less                |6              |
|          |mind                |36             |     |       |dor                 |6              |
|          |thousand            |36             |     |       |entrance            |6              |
|          |guide               |35             |     |       |us                  |6              |
|          |round               |35             |     |       |cannot              |6              |
|          |himself             |35             |     |       |up                  |6              |
|          |six                 |35             |     |       |art                 |6              |
|          |along               |35             |     |       |flown               |6              |
|          |reached             |34             |     |       |paid                |6              |
|          |full                |34             |     |       |nepenthe            |6              |
|          |asked               |34             |     |       |himself             |6              |
|          |silence             |34             |     |       |lady                |6              |
|          |called              |34             |     |       |much                |5              |
|          |hear                |34             |     |       |following           |5              |
|          |since               |33             |     |       |anyone              |5              |
|          |lost                |33             |     |       |distribute          |5              |
|          |make                |33             |     |       |under               |5              |
|          |put                 |33             |     |       |wandering           |5              |
|          |journey             |33             |     |       |medium              |5              |
|          |waves               |33             |     |       |printed             |5              |
|          |road                |32             |     |       |general             |5              |
|          |matter              |32             |     |       |very                |5              |
|          |formed              |32             |     |       |sad                 |5              |
|          |uncle's             |32             |     |       |sat                 |5              |
|          |island              |32             |     |       |tempest             |5              |
|          |once                |32             |     |       |sure                |5              |
|          |heard               |32             |     |       |dream               |5              |
|          |old                 |32             |     |       |state               |5              |
|          |another             |31             |     |       |quoth               |5              |
|          |within              |31             |     |       |free                |5              |
|          |does                |31             |     |       |she                 |5              |
|          |carried             |31             |     |       |light               |5              |
|          |question            |31             |     |       |sea                 |5              |
|          |next                |31             |     |       |morrow              |5              |
|          |period              |31             |     |       |posted              |5              |
|          |together            |31             |     |       |followed            |5              |
|          |name                |31             |     |       |heard               |5              |
|          |high                |31             |     |       |felt                |5              |
|          |began               |30             |     |       |dying               |5              |
|          |certain             |30             |     |       |seems               |5              |
|          |document            |30             |     |       |wholly              |5              |
|          |icelandic           |30             |     |       |compliance          |5              |
|          |distance            |30             |     |       |clasp               |5              |
|          |passage             |30             |     |       |yore                |5              |
|          |think               |30             |     |       |time                |5              |
|          |alone               |30             |     |       |lines               |5              |
|          |sure                |29             |     |       |till                |5              |
|          |walls               |29             |     |       |lamplight           |5              |
|          |find                |29             |     |       |hope                |5              |
|          |hold                |29             |     |       |analysis            |5              |
|          |house               |29             |     |       |final               |5              |
|          |kept                |29             |     |       |melody              |5              |
|          |longer              |29             |     |       |fantastic           |5              |
|          |rate                |29             |     |       |writing             |5              |
|          |depth               |29             |     |       |god                 |5              |
|          |fell                |28             |     |       |editions            |5              |
|          |voice               |28             |     |       |come                |5              |
|          |speak               |28             |     |       |good                |5              |
|          |five                |28             |     |       |tapping             |5              |
|          |able                |28             |     |       |lyrics              |5              |
|          |laid                |28             |     |       |mystery             |5              |
|          |perhaps             |28             |     |       |first               |5              |
|          |above               |28             |     |       |leave               |5              |
|          |became              |28             |     |       |memory              |5              |
|          |stood               |28             |     |       |forgotten           |5              |
|          |new                 |28             |     |       |last                |5              |
|          |mountain            |28             |     |       |violet              |5              |
|          |fact                |28             |     |       |plutonian           |5              |
|          |compass             |28             |     |       |collection          |5              |
|          |huge                |28             |     |       |effort              |5              |
|          |while               |27             |     |       |hand                |5              |
|          |morning             |27             |     |       |burden              |5              |
|          |electronic          |27             |     |       |might               |5              |
|          |state               |27             |     |       |woman               |5              |
|          |believe             |27             |     |       |scarcely            |5              |
|          |nature              |27             |     |       |nearly              |5              |
|          |hunter              |27             |     |       |having              |4              |
|          |followed            |26             |     |       |change              |4              |
|          |feel                |26             |     |       |help                |4              |
|          |learned             |26             |     |       |support             |4              |
|          |sail                |26             |     |       |respite—respite     |4              |
|          |deep                |26             |     |       |truly               |4              |
|          |oh                  |26             |     |       |single              |4              |
|          |brought             |26             |     |       |almost              |4              |
|          |use                 |26             |     |       |requirements        |4              |
|          |terms               |26             |     |       |dreaming            |4              |
|          |gutenberg           |26             |     |       |lies                |4              |
